index;shoot;identifier;total time
0;0;00-00-01;0.0
1;1;00-00-03;4.220083236694336
2;2;00-00-05;14.050672054290771
3;1;00-00-06;5.68197774887085
4;1;00-00-07;7.302796840667725
5;1;00-00-08;6.176404237747192
6;1;00-00-09;16.751161813735962
7;1;00-00-010;5.825666666030884
8;1;00-00-011;5.943459987640381
9;1;00-00-012;7.1679723262786865
10;1;00-00-013;6.310003757476807
11;1;00-00-014;5.823205232620239
12;2;00-00-015;11.43283748626709
13;1;00-00-016;6.576992750167847
14;1;00-00-017;6.715839862823486
15;2;00-00-018;16.065768480300903
16;1;00-00-019;7.177935838699341
17;1;00-00-020;7.655646085739136
18;1;00-00-021;6.409070253372192
19;1;00-00-022;8.246375322341919
20;1;00-00-023;7.004270315170288
21;1;00-00-024;7.758547782897949
22;1;00-00-025;6.9648144245147705
23;1;00-00-026;7.222041368484497
24;1;00-00-027;7.749815940856934
25;1;00-00-028;8.044481754302979
26;1;00-00-029;8.087828636169434
27;1;00-00-030;7.180322170257568
28;1;00-00-031;6.941607236862183
29;1;00-00-032;7.346848487854004
30;1;00-00-033;8.007767677307129
31;1;00-00-034;7.885295391082764
32;1;00-00-035;8.00325632095337
33;1;00-00-036;9.927526235580444
34;1;00-00-037;9.761814832687378
35;2;00-00-038;18.214929819107056
36;1;00-00-039;9.95223069190979
37;1;00-00-040;10.903578042984009
38;1;00-00-041;13.09131646156311
39;1;00-00-042;11.6702721118927
40;1;00-00-043;11.955426216125488
41;1;00-00-045;13.493614673614502
42;1;00-00-047;12.676228046417236
43;1;01-00-046;13.783008813858032
44;1;01-00-044;15.206341743469238
45;1;01-00-042;14.266870737075806
46;1;01-00-041;13.248836994171143
47;1;01-00-040;13.042353391647339
48;1;01-00-039;13.035900115966797
49;1;01-00-038;17.131545066833496
50;1;00-00-01;1.6466805934906006
51;1;01-00-037;7.319450378417969e-05
52;1;01-00-036;7.8712522983551025
53;1;01-00-035;10.626681566238403
54;1;01-00-034;8.499745607376099
55;1;01-00-033;8.111864566802979
56;1;01-00-032;8.184762716293335
57;1;01-00-031;8.862041234970093
58;2;01-00-030;19.361722946166992
59;1;01-00-029;9.546463966369629
60;1;01-00-028;10.396503686904907
61;1;01-00-027;10.308793783187866
62;1;01-00-026;10.108048439025879
63;1;01-00-025;9.857370376586914
64;1;01-00-024;9.397191286087036
65;1;01-00-023;10.547441482543945
66;1;01-00-022;11.021135091781616
67;1;01-00-021;10.404917001724243
68;1;01-00-020;11.535269975662231
69;1;01-00-019;11.33102822303772
70;1;01-00-018;12.532469034194946
71;1;01-00-017;14.947280168533325
72;1;01-00-016;11.791959285736084
73;1;01-00-015;16.435245990753174
74;1;01-00-014;14.283614158630371
75;1;01-00-013;12.33501386642456
76;1;01-00-012;14.629775762557983
77;1;01-00-011;13.189515590667725
78;1;01-00-010;17.394451141357422
79;1;01-00-09;17.48741388320923
80;1;01-00-08;17.02464461326599
81;1;01-00-07;19.159682512283325
82;1;01-00-06;16.381381034851074
83;1;01-00-04;20.208815813064575
84;1;01-00-02;16.6839759349823
85;1;02-00-01;102.97459769248962
86;1;02-00-03;22.316784858703613
87;1;02-00-05;23.45848321914673
88;1;02-00-06;20.953229665756226
89;1;02-00-07;32.957658529281616
90;1;02-00-08;22.77375102043152
91;1;02-00-09;32.798590660095215
92;1;02-00-010;31.046618461608887
93;1;02-00-011;42.424670457839966
94;1;02-00-012;38.81593656539917
95;1;02-00-013;37.351407527923584
96;2;02-00-014;77.50087666511536
97;1;02-00-015;54.84169340133667
98;1;02-00-016;401.04184794425964
99;1;02-00-017;36.787726163864136
100;1;02-00-018;30.4299418926239
101;1;01-00-037;2.4819929599761963
102;1;02-00-019;9.131431579589844e-05
103;1;02-00-020;7.308819055557251
104;1;02-00-021;7.84159779548645
105;1;02-00-022;6.832686424255371
106;1;02-00-023;7.17214035987854
107;1;02-00-024;6.999797105789185
108;1;02-00-025;6.875162124633789
109;1;02-00-026;6.807569980621338
110;1;02-00-027;7.540862083435059
111;1;02-00-028;8.349576950073242
112;1;02-00-029;8.1131112575531
113;1;02-00-030;7.985679388046265
114;1;02-00-031;9.935807704925537
115;1;02-00-032;7.857766628265381
116;1;02-00-033;8.155354976654053
117;1;02-00-034;9.09531545639038
118;2;02-00-035;17.969910621643066
119;1;02-00-036;8.656470537185669
120;1;02-00-037;8.663604021072388
121;1;02-00-038;9.85489821434021
122;1;02-00-039;9.773993730545044
123;1;02-00-040;9.987199544906616
124;1;02-00-041;9.242642879486084
125;1;02-00-042;11.841328620910645
126;1;02-00-043;11.219727754592896
127;1;02-00-045;12.900930643081665
128;1;02-00-047;14.243646383285522
129;1;03-00-046;13.48142409324646
130;1;03-00-044;12.646010398864746
131;1;03-00-042;12.415643215179443
132;1;03-00-041;13.735023975372314
133;1;03-00-040;14.109538316726685
134;1;03-00-039;14.231670141220093
135;1;03-00-038;16.376967906951904
136;1;03-00-037;14.11990237236023
137;1;03-00-036;13.471648216247559
138;1;03-00-035;21.50790524482727
139;1;03-00-034;15.997307062149048
140;1;03-00-033;23.50868797302246
141;1;03-00-032;12.807464122772217
142;1;03-00-031;14.844927072525024
143;1;03-00-030;16.273906469345093
144;1;03-00-029;16.268388271331787
145;1;03-00-028;19.967102527618408
146;1;03-00-027;18.336464643478394
147;1;03-00-026;18.14104127883911
148;1;03-00-025;17.727540969848633
149;1;03-00-024;19.466203212738037
150;1;03-00-023;21.10785675048828
151;1;03-00-022;22.397377967834473
152;1;02-00-019;1.0250022411346436
153;1;03-00-021;0.0001010894775390625
154;1;03-00-020;3.255239963531494
155;1;03-00-019;12.57611870765686
156;1;03-00-018;6.28444242477417
157;1;03-00-017;6.426118850708008
158;1;03-00-016;5.81019926071167
159;1;03-00-015;7.696037530899048
160;1;03-00-014;5.221725940704346
161;1;03-00-013;10.57739806175232
162;1;03-00-012;6.672020196914673
163;1;03-00-011;6.361066579818726
164;1;03-00-010;5.9010515213012695
165;1;03-00-09;7.894821643829346
166;1;03-00-08;6.439458131790161
167;1;03-00-07;5.799685955047607
168;1;03-00-06;6.093016862869263
169;1;03-00-04;6.367695093154907
170;1;03-00-02;6.013348340988159
171;1;04-00-01;4.874982118606567
172;1;04-00-03;6.567721128463745
173;1;04-00-05;6.473216533660889
174;1;04-00-06;8.3180832862854
175;1;04-00-07;8.116893768310547
176;1;04-00-08;5.863473892211914
177;1;04-00-09;10.96935224533081
178;1;04-00-010;9.700896978378296
179;1;04-00-011;9.764484405517578
180;1;04-00-012;10.003408908843994
181;1;04-00-013;8.3599853515625
182;1;04-00-014;8.740126848220825
183;1;04-00-015;11.077563762664795
184;1;04-00-016;9.900117635726929
